FILE_NAME,CLUSTER_NUM,CLUSTER_MEMBER,MEMBER_ENERGY,MEMBER_SCORE,SP-dG,Polar,Nonpolar,Inter,Polar15,RMSD,ligand,frame,seed
seed-1-12-0-0-1.crd,0,1,35.479498,35.479498,-8.8884,14.7358,-61.3134,-46.5776,-39.2097,39.4401,Phlorizin,1,seed-1-12-0-0-1
seed-1-15-0-0-1.crd,0,2,37.114682,37.114682,-8.884,14.9715,-61.4189,-46.4474,-38.9616,39.3935,Phlorizin,2,seed-1-15-0-0-1
seed-1-13-1-0-2.crd,0,6,45.422074,45.422074,-8.7061,18.5818,-61.8745,-43.2926,-34.0017,39.3726,Phlorizin,6,seed-1-13-1-0-2
seed-1-3-0-0-1.crd,0,3,39.593452,39.593452,-8.6989,14.7361,-59.3104,-44.5743,-37.2062,39.451,Phlorizin,3,seed-1-3-0-0-1
seed-1-8-0-1-1.crd,14,1,83.952896,83.952896,-8.5828,17.0001,-59.548,-42.5479,-34.0479,39.7656,Baicalin,64,seed-1-8-0-1-1
seed-1-5-1-2-2.crd,2,2,45.939522,45.939522,-8.5765,17.9275,-60.0811,-42.1537,-33.1899,39.3351,Phlorizin,18,seed-1-5-1-2-2
seed-1-7-0-2-1.crd,13,1,49.450179,49.450179,-8.4994,10.1927,-54.2625,-44.0698,-38.9735,38.9716,Phlorizin,73,seed-1-7-0-2-1
seed-1-15-1-0-0.crd,3,1,41.239522,41.239522,-8.453,13.002,-55.5892,-42.5872,-36.0863,40.8096,Phlorizin,25,seed-1-15-1-0-0
seed-1-10-0-2-0.crd,26,1,52.051596,52.051596,-8.4406,16.5362,-57.7439,-41.2077,-32.9396,39.3399,Phlorizin,129,seed-1-10-0-2-0
seed-1-25-0-1-0.crd,1,3,51.494716,51.494716,-8.439,15.4027,-56.9944,-41.5917,-33.8904,41.3603,Isoorientin,11,seed-1-25-0-1-0
seed-1-19-0-2-1.crd,13,2,50.262646,50.262646,-8.4279,9.3544,-52.9638,-43.6093,-38.9321,38.9909,Phlorizin,74,seed-1-19-0-2-1
seed-1-9-0-2-0.crd,2,1,49.256489,49.256489,-8.4257,14.8305,-56.4833,-41.6528,-34.2376,42.3282,Isoorientin,17,seed-1-9-0-2-0
seed-1-10-1-2-2.crd,2,3,46.82074,46.82074,-8.4249,18.9613,-59.1475,-40.1861,-30.7055,38.9527,Phlorizin,19,seed-1-10-1-2-2
seed-1-6-1-2-0.crd,0,4,50.622365,50.622365,-8.4143,15.0845,-56.5271,-41.4427,-33.9004,42.3668,Isoorientin,4,seed-1-6-1-2-0
seed-1-20-0-2-1.crd,0,1,71.311943,71.311943,-8.4107,15.1026,-56.5006,-41.398,-33.8467,40.4981,Baicalin,1,seed-1-20-0-2-1
seed-1-25-0-2-0.crd,0,3,50.469234,50.469234,-8.4099,14.9572,-56.3982,-41.441,-33.9624,42.4241,Isoorientin,3,seed-1-25-0-2-0
seed-1-14-0-2-1.crd,13,3,52.767874,52.767874,-8.3919,13.5803,-55.3169,-41.7366,-34.9464,39.0566,Phlorizin,75,seed-1-14-0-2-1
seed-1-18-1-2-0.crd,2,3,52.284448,52.284448,-8.3892,16.0752,-56.9033,-40.8281,-32.7905,41.8022,Isoorientin,19,seed-1-18-1-2-0
seed-1-5-0-2-1.crd,0,4,79.005533,79.005533,-8.3885,18.391,-58.3933,-40.0023,-30.8068,40.3804,Baicalin,4,seed-1-5-0-2-1
seed-1-20-1-0-3.crd,0,2,72.350353,72.350353,-8.3838,16.8727,-57.3619,-40.4892,-32.0528,40.5408,Baicalin,2,seed-1-20-1-0-3
seed-1-14-1-0-2.crd,0,8,47.62061,47.62061,-8.3806,21.0333,-60.0199,-38.9866,-28.47,39.6017,Phlorizin,8,seed-1-14-1-0-2
seed-1-3-1-2-0.crd,0,7,61.597149,61.597149,-8.3673,15.6076,-56.3692,-40.7616,-32.9578,42.5333,Isoorientin,7,seed-1-3-1-2-0
seed-1-7-1-2-0.crd,2,2,51.084748,51.084748,-8.3666,15.9763,-56.5998,-40.6235,-32.6353,41.8402,Isoorientin,18,seed-1-7-1-2-0
seed-1-8-1-0-2.crd,4,1,78.203449,78.203449,-8.3578,12.7368,-54.411,-41.6742,-35.3058,40.3169,Baicalin,22,seed-1-8-1-0-2
seed-1-5-1-2-1.crd,13,6,57.001291,57.001291,-8.3519,6.3684,-50.229,-43.8607,-40.6765,38.5352,Phlorizin,78,seed-1-5-1-2-1
seed-1-19-0-2-0.crd,2,7,56.48816,56.48816,-8.3345,16.7674,-56.7726,-40.0052,-31.6215,42.0583,Isoorientin,23,seed-1-19-0-2-0
seed-1-8-0-1-0.crd,5,3,56.68693,56.68693,-8.3345,17.1556,-57.0237,-39.8681,-31.2903,41.8656,Isoorientin,43,seed-1-8-0-1-0
seed-1-6-0-2-0.crd,0,1,46.254817,46.254817,-8.3317,9.5406,-52.067,-42.5264,-37.7561,43.4508,Isoorientin,1,seed-1-6-0-2-0
seed-1-15-1-0-1.crd,0,7,45.744798,45.744798,-8.3211,21.4803,-59.6802,-38.1998,-27.4597,39.5707,Phlorizin,7,seed-1-15-1-0-1
seed-1-19-0-1-1.crd,5,6,61.455993,61.455993,-8.3179,15.4131,-55.7211,-40.308,-32.6014,42.2567,Isoorientin,46,seed-1-19-0-1-1
seed-1-6-1-2-2.crd,2,1,40.421617,40.421617,-8.3173,19.3123,-58.2369,-38.9246,-29.2684,39.0898,Phlorizin,17,seed-1-6-1-2-2
seed-1-3-1-2-1.crd,9,2,82.684544,82.684544,-8.3172,14.957,-55.4184,-40.4614,-32.9829,40.6067,Baicalin,53,seed-1-3-1-2-1
seed-1-18-0-1-3.crd,2,8,53.871008,53.871008,-8.3168,14.6967,-55.2461,-40.5494,-33.201,39.267,Phlorizin,24,seed-1-18-0-1-3
seed-1-6-1-0-2.crd,3,3,85.514505,85.514505,-8.3099,9.0345,-51.51,-42.4755,-37.9582,41.0501,Baicalin,20,seed-1-6-1-0-2
seed-1-10-1-0-0.crd,5,5,57.970302,57.970302,-8.309,17.6236,-57.0565,-39.433,-30.6212,41.3864,Isoorientin,45,seed-1-10-1-0-0
seed-1-18-1-2-2.crd,2,6,51.224835,51.224835,-8.3058,11.912,-53.3275,-41.4155,-35.4595,39.4291,Phlorizin,22,seed-1-18-1-2-2
seed-1-17-1-0-3.crd,1,4,83.157773,83.157773,-8.3022,12.8488,-53.8953,-41.0465,-34.6221,40.6265,Baicalin,12,seed-1-17-1-0-3
seed-1-9-1-2-1.crd,0,5,80.314454,80.314454,-8.3012,16.5349,-56.2704,-39.7354,-31.468,40.5368,Baicalin,5,seed-1-9-1-2-1
seed-1-18-1-0-1.crd,0,5,42.07962,42.07962,-8.2996,20.8813,-59.0646,-38.1834,-27.7428,39.5939,Phlorizin,5,seed-1-18-1-0-1
seed-1-23-1-2-0.crd,2,5,53.807757,53.807757,-8.2991,16.8235,-56.4348,-39.6113,-31.1995,42.0525,Isoorientin,21,seed-1-23-1-2-0
